sample_id,patches_path,expr_path
MEND162,PRAD/patches/MEND162.h5,PRAD/adata/MEND162.h5ad
MEND161,PRAD/patches/MEND161.h5,PRAD/adata/MEND161.h5ad
MEND160,PRAD/patches/MEND160.h5,PRAD/adata/MEND160.h5ad
MEND159,PRAD/patches/MEND159.h5,PRAD/adata/MEND159.h5ad
MEND158,PRAD/patches/MEND158.h5,PRAD/adata/MEND158.h5ad
MEND157,PRAD/patches/MEND157.h5,PRAD/adata/MEND157.h5ad
MEND156,PRAD/patches/MEND156.h5,PRAD/adata/MEND156.h5ad
MEND154,PRAD/patches/MEND154.h5,PRAD/adata/MEND154.h5ad
MEND153,PRAD/patches/MEND153.h5,PRAD/adata/MEND153.h5ad
MEND152,PRAD/patches/MEND152.h5,PRAD/adata/MEND152.h5ad
MEND151,PRAD/patches/MEND151.h5,PRAD/adata/MEND151.h5ad
MEND150,PRAD/patches/MEND150.h5,PRAD/adata/MEND150.h5ad
MEND149,PRAD/patches/MEND149.h5,PRAD/adata/MEND149.h5ad
MEND148,PRAD/patches/MEND148.h5,PRAD/adata/MEND148.h5ad
MEND147,PRAD/patches/MEND147.h5,PRAD/adata/MEND147.h5ad
MEND146,PRAD/patches/MEND146.h5,PRAD/adata/MEND146.h5ad
MEND145,PRAD/patches/MEND145.h5,PRAD/adata/MEND145.h5ad
MEND144,PRAD/patches/MEND144.h5,PRAD/adata/MEND144.h5ad
MEND143,PRAD/patches/MEND143.h5,PRAD/adata/MEND143.h5ad
MEND142,PRAD/patches/MEND142.h5,PRAD/adata/MEND142.h5ad
MEND141,PRAD/patches/MEND141.h5,PRAD/adata/MEND141.h5ad
MEND140,PRAD/patches/MEND140.h5,PRAD/adata/MEND140.h5ad
MEND139,PRAD/patches/MEND139.h5,PRAD/adata/MEND139.h5ad
